INFO 2024-08-07 22:50:36,708 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-07 22:50:36,709 autoreload Waiting for apps ready_event.
DEBUG 2024-08-07 22:50:37,451 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-08-07 22:50:37,474 autoreload Watching dir Z:\webprojects\SoftDesk\venv\Lib\site-packages\djoser\templates with glob **/*.
DEBUG 2024-08-07 22:50:37,474 autoreload Watching dir Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-08-07 22:50:37,475 autoreload Watching dir Z:\webprojects\SoftDesk\softdesk\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,476 autoreload Watching dir Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,477 autoreload Watching dir Z:\webprojects\SoftDesk\venv\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,478 autoreload Watching dir Z:\webprojects\SoftDesk\venv\Lib\site-packages\djoser\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,479 autoreload Watching dir Z:\webprojects\SoftDesk\softdesk\main\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,479 autoreload Watching dir Z:\webprojects\SoftDesk\softdesk\comments\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,480 autoreload Watching dir Z:\webprojects\SoftDesk\softdesk\issues\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,480 autoreload Watching dir Z:\webprojects\SoftDesk\softdesk\projects\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,481 autoreload Watching dir Z:\webprojects\SoftDesk\softdesk\users\locale with glob **/*.mo.
DEBUG 2024-08-07 22:50:37,537 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-08-07 22:50:37,542 utils (0.016) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-08-07 22:50:37,751 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1722979183.7848032
DEBUG 2024-08-07 22:50:37,752 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\migrations\executor.py first seen with mtime 1722979183.8745615
DEBUG 2024-08-07 22:50:37,753 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\struct.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,753 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\tokenize.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,754 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1722979181.0566752
DEBUG 2024-08-07 22:50:37,754 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\http\cookies.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,755 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\email\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,755 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\datetime.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,756 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\asyncio\locks.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,756 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1722979184.0141864
DEBUG 2024-08-07 22:50:37,757 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1722979183.8256931
DEBUG 2024-08-07 22:50:37,758 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1722979183.9084706
DEBUG 2024-08-07 22:50:37,759 autoreload File Z:\webprojects\SoftDesk\softdesk\comments\serializers.py first seen with mtime 1722979181.0177784
DEBUG 2024-08-07 22:50:37,759 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1722979183.8017573
DEBUG 2024-08-07 22:50:37,760 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1722979183.8246968
DEBUG 2024-08-07 22:50:37,760 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\http\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,761 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1722979184.4470234
DEBUG 2024-08-07 22:50:37,761 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\test\__init__.py first seen with mtime 1722979183.9752915
DEBUG 2024-08-07 22:50:37,762 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\template\context.py first seen with mtime 1722979183.9653177
DEBUG 2024-08-07 22:50:37,762 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1722979184.4470234
DEBUG 2024-08-07 22:50:37,763 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1722979184.0251565
DEBUG 2024-08-07 22:50:37,765 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1722979183.7907877
DEBUG 2024-08-07 22:50:37,765 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\numbers.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,766 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\urllib3\filepost.py first seen with mtime 1723035951.2781336
DEBUG 2024-08-07 22:50:37,766 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1722979183.9742947
DEBUG 2024-08-07 22:50:37,767 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,767 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1723035954.1233873
DEBUG 2024-08-07 22:50:37,767 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\fractions.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,768 autoreload File Z:\webprojects\SoftDesk\softdesk\comments\__init__.py first seen with mtime 1722979181.0147862
DEBUG 2024-08-07 22:50:37,769 autoreload File Z:\webprojects\SoftDesk\softdesk\users\apps.py first seen with mtime 1722979181.0357301
DEBUG 2024-08-07 22:50:37,769 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,770 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1722979183.875559
DEBUG 2024-08-07 22:50:37,770 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1722979183.9543471
DEBUG 2024-08-07 22:50:37,771 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\threading.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,771 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\email\utils.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,771 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1722979184.4480207
DEBUG 2024-08-07 22:50:37,772 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1722979183.8605993
DEBUG 2024-08-07 22:50:37,772 autoreload File Z:\webprojects\SoftDesk\softdesk\softdesk\urls.py first seen with mtime 1723037263.5159473
DEBUG 2024-08-07 22:50:37,772 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\abc.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,773 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,774 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\asyncio\subprocess.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,774 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1722979183.909468
DEBUG 2024-08-07 22:50:37,775 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1722979183.9024873
DEBUG 2024-08-07 22:50:37,775 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\middleware\common.py first seen with mtime 1722979183.9533498
DEBUG 2024-08-07 22:50:37,777 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1722979184.0092
DEBUG 2024-08-07 22:50:37,777 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1722979183.9024873
DEBUG 2024-08-07 22:50:37,778 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1722979183.8027554
DEBUG 2024-08-07 22:50:37,779 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1722979182.8677173
DEBUG 2024-08-07 22:50:37,779 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1722979183.835667
DEBUG 2024-08-07 22:50:37,780 autoreload File Z:\webprojects\SoftDesk\softdesk\users\admin.py first seen with mtime 1722979181.0357301
DEBUG 2024-08-07 22:50:37,780 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\textwrap.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,781 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\apps\config.py first seen with mtime 1722979181.0556767
DEBUG 2024-08-07 22:50:37,782 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1722979181.2252214
DEBUG 2024-08-07 22:50:37,782 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\test\client.py first seen with mtime 1722979183.980278
DEBUG 2024-08-07 22:50:37,783 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\forms\models.py first seen with mtime 1722979183.937393
DEBUG 2024-08-07 22:50:37,783 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1722979184.0012214
DEBUG 2024-08-07 22:50:37,784 autoreload File Z:\webprojects\SoftDesk\venv\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1722979183.950358
DEBUG 2024-08-07 22:50:37,784 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\sqlite3\dbapi2.py first seen with mtime 1712667018.0
DEBUG 2024-08-07 22:50:37,784 autoreload File Z:\webprojects\SoftDesk\softdesk\issues\__init__.py first seen with mtime 1722979181.0197728
DEBUG 2024-08-07 22:50:37,785 autoreload File C:\Users\Dan\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1712667018.0
